feature,group,delta_mae,priority_score,priority_pct,rank
monthly_kwh,time,4.124130725860596,4.124130725860596,39.75624494879945,1
energy_intensity,behavior,3.1800451278686523,3.1800451278686523,30.655345685095988,2
ac_usage,behavior,1.3722406387329102,1.3722406387329102,13.228274899258533,3
ac_fraction,behavior,1.173154640197754,1.173154640197754,11.30910398791736,4
lag_1,time,0.32316795984903973,0.32316795984903973,3.1153097283746227,5
lag_3,time,0.13705873489379883,0.13705873489379883,1.3212337336065854,6
month,time,0.04222456614176432,0.04222456614176432,0.4070409756563835,7
lag_2,time,0.02151950200398763,0.02151950200398763,0.2074460412910858,8
wfh_impact,behavior,-0.03435230255126953,0.0,0.0,9
