feature,importance
prev1_kwh,7.7593334197998045
peak_ratio,3.829788589477539
has_solar,2.3631725311279297
prev3_kwh,2.0807750701904295
lag_diff1,1.9418018341064454
led_ratio,1.6901168823242188
prev2_kwh,1.688559341430664
water_heater_solar,1.4770889282226562
std_3,0.9042873382568359
lag_diff2,0.44824943542480467
avg_3,0.29114646911621095
temp,0.2557830810546875
month_cos,0.2310260772705078
no_members_wfh,0.11031532287597656
month_sin,0.08603096008300781
trend,0.0553863525390625
avg_hours_wfh,0.049266815185546875
has_electric_cooking,0.03893470764160156
has_water_pump,0.019147872924804688
has_ac,0.01349639892578125
work_from_home,0.010179519653320312
has_geyser,0.000843048095703125
has_refrigerator,0.0
family_size,-3.4332275390625e-05
home_hours,-0.000484466552734375
inverter_ac,-0.0014400482177734375
ac_hours_per_day,-0.004535675048828125
non_inverter_ac,-0.011495590209960938
has_washing_machine,-0.09311294555664062
